Group SMH GLOBAL OP SUMMARY,Group SMH_OP_ASC_OBS_LAB,Department Code & Name,CFY CASES,PFY CASES,CFY UNITS,PFY UNITS, CFY TOTAL CHARGES ,PFY TOTAL CHARGES, CFY NET REVENUE ,PFY NET REVENUE,CFY DIRECT COST,PFY DIRECT COST,CFY DIRECT MARGIN,PFY DIRECT MARGIN,CFY PROGRAM COST,PFY PROGRAM COST,CFY INDIRECT/ OH COST,PFY INDIRECT/ OH COST,CFY NET MARGIN,PFY NET MARGIN
006 Orthopedics,OUTPATIENT,6660 SMH SPORTS REHAB STRONG WEST,3371,2867,26098,23255,2125145,1895472,822024,808993,423006,425056,399019,383937,112067,128969,554965,253847,-268013,1121
006 Orthopedics,OUTPATIENT,6670 SMH HAND REHAB - PENFIELD,1398,1221,12619,10972,910849,803171,337772,291537,180868,137186,156904,154351,19754,20076,60600,50667,76549,83608
006 Orthopedics,OUTPATIENT,6680 SMH HAND REHAB STRONG WEST,594,574,5033,6170,358669,438504,125426,170009,42461,13345,82965,156664,17519,7163,20546,14220,44899,135281
006 Orthopedics,ASC,5000 SMH ORTHOPEDIC SHOP,33,21,40,21,10211,4338,4620,1799,3678,1644,942,155,192,93,489,239,260,-178
006 Orthopedics,ASC,5030 SMH O/P ORTHO PROC - CLCRS,1,0,10,,3108,,1654,,265,,1389,,169,,153,,1067,
006 Orthopedics,OBS,5000 SMH ORTHOPEDIC SHOP,108,108,125,118,63151,49811,17127,14527,21855,18357,-4729,-3830,1143,1042,2906,2672,-8778,-7544
006 Orthopedics,OBS,6600 SMH SPORTS MED-BRIGHTON,1,0,0,,0,,0,,0,,0,,0,,0,,0,
007 Neurology,OUTPATIENT,4400 SMH EPILEPSY,4124,5374,7283,11620,3195300,4303329,1091990,1480342,875243,1102316,216747,378025,89294,124829,223119,276227,-95666,-23030
007 Neurology,OUTPATIENT,4410 SMH GENERAL NEUROLOGY,1181,1033,32156,29270,779327,772836,298757,313807,367333,306334,-68576,7473,26051,26777,36356,42847,-130983,-62152
007 Neurology,OUTPATIENT,4411 SMH NEURO IMMUNOLOGY,1286,1177,2011,2352,426686,429160,158294,166956,107514,103190,50780,63766,17901,15196,15462,15983,17417,32588
007 Neurology,OUTPATIENT,4412 SMH NEURO ONCOLOGY,388,373,670,741,179318,189981,63236,71687,98126,100451,-34891,-28765,7122,6460,12090,13967,-54103,-49192
007 Neurology,OUTPATIENT,4420 SMH NEUROMUSCULAR DISEASE,4180,3485,13631,15279,7951765,8002672,2304552,2627541,1644672,1530977,659880,1096564,345789,311449,462627,467501,-148536,317614
007 Neurology,OUTPATIENT,4470 SMH NEURO MIGRAINE CTR,1996,1682,273828,231231,5024577,4281148,2060440,1888216,1962137,1692666,98303,195550,173937,140846,678239,665880,-753873,-611176
007 Neurology,OUTPATIENT,4480 SMH MOVEMENT DISORDERS,3624,2780,300738,319133,6472988,6427342,2634723,2812190,2560646,2214178,74076,598012,236487,211504,385664,398297,-548075,-11788
007 Neurology,OUTPATIENT,6100 SMH NEURO BALANCE LAB,430,372,2408,2678,588635,556647,231088,253989,247348,277159,-16260,-23170,20578,50584,49915,52646,-86753,-126400
007 Neurology,OUTPATIENT,6120 SMH OPD-MED NEURO,5004,4224,829629,714555,61499110,44395706,27080952,20375417,15734106,8389960,11346845,11985456,2429058,2031408,3776292,2816885,5141495,7137164
007 Neurology,OUTPATIENT,6200 SMH OPD-PED NEUROLOGY,386,421,11845,1022,23223169,8825306,12583707,3535179,10518790,4292806,2064918,-757626,580082,214611,1805364,570325,-320528,-1542563
007 Neurology,ASC,4400 SMH EPILEPSY,21,23,108,84,36239,43168,15645,17252,9767,10986,5878,6267,996,1244,2490,2753,2392,2270
007 Neurology,ASC,6200 SMH OPD-PED NEUROLOGY,1,0,120,,262500,,76125,,72917,,3208,,0,,0,,3208,
007 Neurology,OBS,4400 SMH EPILEPSY,65,101,129,201,79267,120001,23219,35256,21040,30664,2179,4592,2147,3472,5364,7684,-5332,-6564
007 Neurology,OBS,4420 SMH NEUROMUSCULAR DISEASE,0,2,,6,,2119,,583,,409,,174,,83,,125,,-34
007 Neurology,OBS,4480 SMH MOVEMENT DISORDERS,2,0,405,,7130,,2139,,2738,,-599,,194,,317,,-1110,
007 Neurology,OBS,6120 SMH OPD-MED NEURO,0,1,,7,,1010,,165,,188,,-23,,46,,63,,-132
007a Stroke Services,OUTPATIENT,6110 SMH STROKE SERVICES,608,692,1024,1378,194885,239990,80902,65865,119848,154071,-38946,-88206,7168,7947,13686,19581,-59801,-115733
007a Stroke Services,OBS,6110 SMH STROKE SERVICES,2,0,3,,660,,173,,369,,-196,,22,,42,,-260,
008 Psychiatry,OUTPATIENT,7000 SMH PSYCH ADULT ID CCC,12341,10347,26515,24713,6538331,5293308,2357118,1882035,3193285,2522753,-836167,-640718,1177893,1079814,1128698,1096459,-3142758,-2816991
008 Psychiatry,OUTPATIENT,7010 SMH PSYCH CHILD/ADL OFFSITE,10583,11317,37027,25545,5778101,6212524,2538359,2576166,3855303,3007719,-1316945,-431553,598130,503043,769640,711994,-2684715,-1646590
008 Psychiatry,OUTPATIENT,7011 SMH PSYCH CHILD AND ADOLESCENT - EAST RIVER,10598,2154,20067,4211,5526361,1080587,2124035,442842,1474518,144427,649517,298415,50,1,983863,53978,-334396,244436
008 Psychiatry,OUTPATIENT,7030 SMH PSYCH OLDER ADULT SERV OFFSITE,6053,5538,12186,13189,2523661,2326598,903188,859296,1226567,1045889,-323379,-186593,99942,91029,239791,217310,-663112,-494932
008 Psychiatry,OUTPATIENT,7040 SMH PSYCH DEAF WELLNESS CENTER,1022,873,4455,3067,1186200,754664,308361,318028,168487,160097,139874,157930,56029,53044,70972,63650,12873,41236
008 Psychiatry,OUTPATIENT,7050 SMH PSYCH FAMILY & MARRIAGE,5208,5504,8983,9660,2774107,2832164,1004127,1003181,698486,514976,305641,488206,152953,191958,244331,215481,-91643,80767
008 Psychiatry,OUTPATIENT,7230 SMH PSYCH ADULT PARTIAL HOSP,1417,1106,15632,5674,4830553,3665444,1599538,1340754,1486724,1293594,112814,47160,276420,288182,347297,321582,-510902,-562604
008 Psychiatry,OUTPATIENT,7260 SMH PSYCH CHILD PARTIAL HOSP,668,628,13108,5086,4307311,3983368,1730825,1876038,1429277,1354789,301549,521249,262602,320507,715141,741766,-676195,-541024
008 Psychiatry,OUTPATIENT,7270 SMH PSYCH ECT,1061,724,2533,787,959129,487330,352866,204515,447929,344643,-95063,-140128,75010,59625,158901,134453,-328974,-334206
008 Psychiatry,OUTPATIENT,7320 SMH CHEMICAL DEPENDENCY PROGRAM,5271,4684,39035,23676,3924783,3703947,1944951,1583642,1775066,1357731,169885,225911,353990,377117,453620,663922,-637725,-815128
008 Psychiatry,OUTPATIENT,7340 SMH METHADONE CLINIC,26845,19194,2875634,2464037,14514262,11215188,3776945,2458416,2644255,2093065,1132690,365350,741553,787267,972359,1198657,-581222,-1620574
008 Psychiatry,OUTPATIENT,7400 SMH STRONG TIES CLINIC,11928,11787,146846,99603,7705060,6606569,3518999,2257872,3665984,2671683,-146985,-413811,845571,840912,790013,652016,-1782569,-1906739
008 Psychiatry,OUTPATIENT,7430 SMH PSYCH LAZOS FUERTES,2184,2068,3708,3923,956964,936942,335001,313408,329951,313984,5051,-576,59256,75337,78917,80465,-133123,-156377
008 Psychiatry,OUTPATIENT,7450 SMH ACT 48 PROGRAM,627,447,31629,21944,2157024,1383631,942348,586729,860381,593298,81967,-6570,54048,41403,181636,134009,-153716,-181981
008 Psychiatry,OUTPATIENT,7500 SMH ACT PROGRAM,672,709,29509,30947,2292414,2117293,996767,988387,1146288,961048,-149521,27338,238712,235507,253025,230369,-641257,-438538
008 Psychiatry,OUTPATIENT,7580 SMH PSYCH HEALTH HOME,0,4384,,4384,,2227532,,975021,,1743947,,-768926,,121552,,361192,,-1251670
008 Psychiatry,OUTPATIENT,7800 SMH CPEP - TRIAGE/ EOB,7309,6670,16187,18268,14002475,12791116,5590584,4686495,3541735,3628054,2048849,1058441,483386,484724,1426479,1445933,138985,-872215
008 Psychiatry,OUTPATIENT,7830 SMH CPEP - MOBILE/INTERIM CRISIS,1759,1987,1910,2168,1732356,1875252,1435130,1525804,1087976,1027806,347154,497998,92352,88970,246619,241306,8184,167722
008 Psychiatry,OUTPATIENT,7850 SMH PSYCH MEDICINE PROG,4780,4996,15425,13365,1605618,1662196,528461,563100,1228372,1071883,-699911,-508783,291542,286737,243837,237218,-1235290,-1032739
008 Psychiatry,ASC,7000 SMH PSYCH ADULT ID CCC,1,0,0,,0,,0,,0,,0,,0,,0,,0,
008 Psychiatry,OBS,7000 SMH PSYCH ADULT ID CCC,1,0,1,,330,,39,,148,,-109,,55,,52,,-215,
008 Psychiatry,OBS,7270 SMH PSYCH ECT,0,1,,1,,640,,47,,467,,-420,,81,,182,,-683
008 Psychiatry,OBS,7320 SMH CHEMICAL DEPENDENCY PROGRAM,1,0,2,,387,,46,,179,,-133,,36,,46,,-214,
008 Psychiatry,OBS,7340 SMH METHADONE CLINIC,2,2,40,11,388,135,65,29,69,26,-5,3,20,10,26,15,-50,-22
008 Psychiatry,OBS,7400 SMH STRONG TIES CLINIC,2,0,2,,330,,62,,137,,-75,,37,,34,,-146,
008 Psychiatry,OBS,7800 SMH CPEP - TRIAGE/ EOB,694,401,22187,24056,3343451,2620525,1265921,1113513,830322,743202,435599,370310,113325,99295,334419,296198,-12145,-25182
008 Psychiatry,OBS,7850 SMH PSYCH MEDICINE PROG,1,2,2,3,347,356,126,72,311,230,-185,-158,74,61,62,51,-320,-270
009 Rehabilitation,OUTPATIENT,5040 SMH PHYSICAL THERAPY,39,17,65,21,7587,1413,2636,579,2431,389,205,190,0,0,608,113,-403,77
009 Rehabilitation,OUTPATIENT,5060 SMH REHABILITATION,12,1,24,2,3110,615,1282,138,5720,911,-4438,-773,0,0,1044,200,-5482,-973
009 Rehabilitation,OUTPATIENT,5080 SMH OCCUPATIONAL THERAPY,14,12,45,15,4094,2617,1862,969,1603,991,259,-23,0,0,273,193,-14,-216
009 Rehabilitation,OUTPATIENT,5100 SMH O/P REHAB - SMH,117,101,621,635,235766,220043,74604,66576,68737,45658,5867,20918,0,0,8276,6891,-2409,14027
009 Rehabilitation,OUTPATIENT,5110 SMH O/P REHAB - CLCRS,2560,3112,84964,76233,2411362,2632099,815425,1011634,960286,763158,-144861,248475,45,5,131242,117808,-276148,130662
009 Rehabilitation,OUTPATIENT,6240 SMH PHYSICAL THERAPY,13846,13303,62117,63911,4956019,5181414,1707445,1814869,1496238,1446300,211207,368569,4,5,232247,244531,-21044,124033
009 Rehabilitation,OUTPATIENT,6250 SMH JCC/YMCA PHYSICAL THERAPY,422,411,2318,2307,212522,198468,57737,65098,59735,56113,-1998,8985,0,0,8708,8719,-10705,266
009 Rehabilitation,OUTPATIENT,6300 SMH OPD O/P OCC THERAPY,3887,3622,19117,18339,1736821,1637972,590398,584855,591715,511043,-1317,73812,1,2,96156,93679,-97475,-19868
009 Rehabilitation,ASC,5040 SMH PHYSICAL THERAPY,31,57,50,65,7527,11730,2890,4825,2417,3225,473,1600,0,0,604,942,-131,658
009 Rehabilitation,ASC,5060 SMH REHABILITATION,32,0,36,,6766,,2597,,12444,,-9847,,0,,2272,,-12119,
009 Rehabilitation,ASC,5080 SMH OCCUPATIONAL THERAPY,6,9,11,8,1854,1927,585,886,726,730,-141,157,0,0,124,142,-264,14
009 Rehabilitation,ASC,6240 SMH PHYSICAL THERAPY,392,345,566,784,83446,82356,34566,33234,25123,22988,9443,10246,0,0,3900,3887,5543,6359
009 Rehabilitation,ASC,6300 SMH OPD O/P OCC THERAPY,26,13,54,44,6695,3200,3021,1265,2275,998,746,267,0,0,370,183,376,84
009 Rehabilitation,OBS,5040 SMH PHYSICAL THERAPY,223,188,411,284,57269,41002,17286,10971,18372,11274,-1086,-303,0,0,4592,3293,-5678,-3596
009 Rehabilitation,OBS,5060 SMH REHABILITATION,81,0,119,,18046,,5360,,33189,,-27829,,0,,6059,,-33888,
009 Rehabilitation,OBS,5080 SMH OCCUPATIONAL THERAPY,84,45,182,49,24290,9328,6344,2533,9510,3533,-3166,-1000,0,0,1619,689,-4786,-1690
009 Rehabilitation,OBS,5110 SMH O/P REHAB - CLCRS,1,0,1,,322,,109,,155,,-45,,0,,30,,-75,
009 Rehabilitation,OBS,6240 SMH PHYSICAL THERAPY,937,971,1537,3425,213921,265996,57876,64082,64353,74248,-6478,-10167,0,0,9989,12553,-16467,-22720
009 Rehabilitation,OBS,6250 SMH JCC/YMCA PHYSICAL THERAPY,1,9,1,20,220,1660,14,607,62,469,-48,138,0,0,9,73,-57,65
009 Rehabilitation,OBS,6300 SMH OPD O/P OCC THERAPY,205,137,552,520,50198,34782,12634,7689,17059,10852,-4426,-3163,0,0,2772,1989,-7198,-5152
010 Radiology,OUTPATIENT,4000 SMH ULTRASOUND,8258,12054,9534,13655,4538500,6177169,1370218,2215600,636127,865956,734092,1349643,161251,243342,434494,600629,138346,505673
010 Radiology,OUTPATIENT,4020 SMH CT SCANS,15091,24348,468431,1198936,19917816,39288845,4543148,10533556,1829265,3046736,2713883,7486819,422933,889968,1243032,2162497,1047918,4434355
010 Radiology,OUTPATIENT,4040 SMH DIAGNOSTIC X-RAY,35632,38333,45738,51097,9961030,11038797,2551553,3122461,1946629,1875896,604924,1246565,496663,527145,1917449,2202658,-1809188,-1483239
010 Radiology,OUTPATIENT,4050 SMH ANGIOGRAPHY,5842,4920,89736,83345,22666370,15336125,7795942,6468610,3225008,2439291,4570933,4029319,782957,696521,1701695,1190760,2086281,2142038
010 Radiology,OUTPATIENT,4060 SMH NUCLEAR MEDICINE,879,3293,10036,18377,3863174,9485859,1336719,3133269,1371884,2242283,-35165,890986,232053,630096,516864,919028,-784082,-658137
010 Radiology,OUTPATIENT,4070 SMH NSURG RADIOLOGY,487,558,910,1085,618744,936463,235032,383320,220247,196656,14785,186665,56418,55280,46784,46182,-88417,85202
010 Radiology,OUTPATIENT,4080 SMH MAGNETIC RES IMAGING,3520,7295,225826,424981,14595672,26585805,4267069,8024907,1674313,2423588,2592757,5601319,392036,703587,1701928,2987081,498793,1910652
010 Radiology,OUTPATIENT,4090 SMH IMAGING RIVER ROAD,32641,4163,1518279,33548,70692145,4571441,18692990,1349727,6305486,732494,12387504,617233,190,5,5732678,655117,6654636,-37889
010 Radiology,OUTPATIENT,4100 SMH RADIOLOGY-CLCROSSING,69336,66415,79724,77158,17567796,16150245,5750401,5477060,2126929,2022205,3623472,3454855,552552,581479,882738,860242,2188183,2013135
010 Radiology,OUTPATIENT,4110 SMH BREAST CARE CTR - IMAGING SRVS,2711,2796,3452,4798,1301355,1220928,410150,448344,413144,393563,-2994,54781,102693,110594,140479,129225,-246166,-185038
010 Radiology,OUTPATIENT,4120 SMH URMC IMAGING STRONG WEST,24968,22787,434340,338482,22246049,18403495,6273208,5977066,2329683,2191829,3943525,3785237,917498,1040122,1539329,1070035,1486698,1675079
010 Radiology,ASC,4000 SMH ULTRASOUND,281,247,354,302,368099,288596,122970,106608,60435,44835,62534,61773,15320,12599,41279,31098,5936,18076
010 Radiology,ASC,4020 SMH CT SCANS,359,290,24021,15833,733080,498094,245121,184859,57730,34996,187391,149863,12777,10223,37553,24839,137060,114801
010 Radiology,ASC,4040 SMH DIAGNOSTIC X-RAY,3541,3789,6138,6118,1818407,1699011,722893,703434,448084,362002,274808,341432,114296,101726,441257,425059,-280745,-185354
010 Radiology,ASC,4050 SMH ANGIOGRAPHY,456,478,14638,20431,4289680,4361573,1714169,1900811,917022,953387,797147,947424,171546,272232,372841,465404,252761,209788
010 Radiology,ASC,4060 SMH NUCLEAR MEDICINE,112,182,213,339,209078,321330,76830,120122,71790,81667,5041,38455,21861,22949,48692,33472,-65512,-17967
010 Radiology,ASC,4070 SMH NSURG RADIOLOGY,132,179,291,442,215505,380772,66523,147238,76493,78277,-9969,68961,19594,22004,16248,18382,-45812,28575
010 Radiology,ASC,4080 SMH MAGNETIC RES IMAGING,92,102,4112,5192,400202,378015,98057,107972,42861,33179,55197,74793,10101,9632,43852,40893,1243,24267
010 Radiology,ASC,4090 SMH IMAGING RIVER ROAD,9,1,373,1,22513,1467,8312,297,2236,212,6076,84,0,0,2766,190,3310,-105
010 Radiology,ASC,4100 SMH RADIOLOGY-CLCROSSING,6,1,9,1,1726,164,784,94,218,24,566,70,57,7,91,10,419,52
010 Radiology,ASC,4110 SMH BREAST CARE CTR - IMAGING SRVS,22,77,48,213,23290,119820,9780,45285,6002,34232,3779,11053,1498,9619,2050,11240,231,-9806
010 Radiology,ASC,4120 SMH URMC IMAGING STRONG WEST,63,68,1762,1327,61751,50920,20602,18462,7520,8315,13082,10147,2949,3946,4947,4059,5186,2142
010 Radiology,OBS,4000 SMH ULTRASOUND,1432,1059,1741,1198,886887,575790,283783,182704,124462,79773,159321,102931,31550,22417,85012,55331,42759,25184
010 Radiology,OBS,4020 SMH CT SCANS,4172,2993,248396,160840,8580761,5640267,2481300,1696358,690612,408465,1790687,1287893,154346,119315,453634,289918,1182707,878660
010 Radiology,OBS,4040 SMH DIAGNOSTIC X-RAY,6016,4926,8386,6441,1563874,1151711,450939,347966,316501,203778,134438,144188,80739,57264,311707,239274,-258007,-152350
010 Radiology,OBS,4050 SMH ANGIOGRAPHY,338,301,5739,12766,1842873,1238107,605273,460881,407532,329203,197742,131679,82568,94001,179456,160703,-64282,-123025
010 Radiology,OBS,4060 SMH NUCLEAR MEDICINE,78,71,224,226,131706,116249,41265,35359,38388,27242,2877,8117,16410,7655,36551,11166,-50084,-10703
010 Radiology,OBS,4070 SMH NSURG RADIOLOGY,54,100,95,202,59787,176559,16452,67982,21530,36495,-5078,31486,5515,10259,4573,8570,-15166,12657
010 Radiology,OBS,4080 SMH MAGNETIC RES IMAGING,840,666,27694,23273,3128722,2438220,935570,800976,316271,202909,619299,598066,76597,58906,332526,250087,210176,289074
010 Radiology,OBS,4090 SMH IMAGING RIVER ROAD,7,1,109,1,8743,448,970,119,703,89,267,29,0,0,719,80,-452,-51
010 Radiology,OBS,4100 SMH RADIOLOGY-CLCROSSING,7,0,8,,1837,,596,,193,,403,,50,,80,,273,
010 Radiology,OBS,4110 SMH BREAST CARE CTR - IMAGING SRVS,5,5,8,12,3578,5633,772,938,1600,2408,-828,-1470,402,677,550,791,-1780,-2937
010 Radiology,OBS,4120 SMH URMC IMAGING STRONG WEST,195,188,4994,5698,184828,209030,59157,71500,18934,24443,40223,47057,7571,11599,12703,11933,19948,23524
011 Cancer Center,OUTPATIENT,1950 SMH NS WCC5 SURG ONCOLOGY,1,0,20,,1300,,0,,590,,-590,,75,,354,,-1020,
011 Cancer Center,OUTPATIENT,1970 SMH NS WCC7 HEM/ONC,1,0,17,,1105,,275,,622,,-348,,18,,317,,-683,
011 Cancer Center,OUTPATIENT,2950 SMH MED ONC MYERS CANCER CENTER,3329,1764,13755,7356,3570977,1972219,1369325,828081,1834799,1549772,-465474,-721691,344,463,256419,210632,-722237,-932786
011 Cancer Center,OUTPATIENT,4900 SMH RADIATION ONCOLOGY,6232,5897,51697,45582,83050150,75179923,24160543,24139826,11823999,10780893,12336544,13358933,517151,505637,5556214,5558338,6263178,7294958
011 Cancer Center,OUTPATIENT,4910 SMH SMH INFUSION CENTER at HH,4185,5589,15499,21776,5059989,6713412,2113712,3044568,2438649,2356482,-324937,688087,496,487,426737,422710,-752169,264890
011 Cancer Center,OUTPATIENT,4920 SMH MEDICAL ONCOLOGY,34891,29934,108494,123134,33582970,36908489,13201324,15640318,18614573,15275925,-5413248,364393,3080,2468,8021022,5702368,-13437351,-5340443
011 Cancer Center,OUTPATIENT,4950 SMH BREAST CARE CTR - ONCOLOGY SRVS,4835,3794,7912,8304,1650299,1298190,724356,572032,1124098,1098513,-399742,-526481,212,236,916117,697378,-1316071,-1224095
011 Cancer Center,OUTPATIENT,4960 SMH SMH MED ONC at PLUTA,5770,8896,21998,34159,5940436,9145409,2550294,4296236,5245367,4660756,-2695073,-364520,1047,941,867806,867789,-3563926,-1233251
011 Cancer Center,OUTPATIENT,4970 SMH SMH RAD ONC at PLUTA,2495,2103,22904,22392,25918280,23796131,9083530,9240304,3275623,2855835,5807906,6384469,119,150,830231,768567,4977556,5615752
011 Cancer Center,OUTPATIENT,4980 SMH RAD ONC BATAVIA,1001,973,9152,7196,13102189,8135664,3926884,3043852,1542299,1625570,2384584,1418283,69,70,972707,603471,1411809,814742
011 Cancer Center,OUTPATIENT,4990 SMH NATL MARROW PROGRAM,173,126,368,201,1091977,420458,325196,158627,645368,239344,-320172,-80717,1,0,85423,33956,-405597,-114673
011 Cancer Center,ASC,1950 SMH NS WCC5 SURG ONCOLOGY,192,132,794,159,341605,210980,122835,74421,150169,93154,-27334,-18733,19213,9136,90077,59785,-136625,-87654
011 Cancer Center,ASC,2950 SMH MED ONC MYERS CANCER CENTER,1,0,1,,143,,36,,49,,-13,,0,,10,,-23,
011 Cancer Center,ASC,4900 SMH RADIATION ONCOLOGY,19,28,241,511,66737,265326,23194,124889,12888,46501,10306,78388,564,2181,6059,23975,3683,52232
011 Cancer Center,ASC,4920 SMH MEDICAL ONCOLOGY,3,0,3,,1088,,229,,560,,-332,,0,,241,,-573,
011 Cancer Center,OBS,1800 SMH 8-1200 NEURO ICU,4,0,40,,2350,,1085,,802,,283,,91,,351,,-159,
011 Cancer Center,OBS,1950 SMH NS WCC5 SURG ONCOLOGY,76,59,914,79,166525,92540,41866,24907,72617,40477,-30751,-15570,9294,3970,43566,25978,-83610,-45517
011 Cancer Center,OBS,1960 SMH NS WCC6 BMT,21,17,134,21,249450,24570,11155,8078,71586,7069,-60431,1009,1552,142,37533,3622,-99515,-2755
011 Cancer Center,OBS,1970 SMH NS WCC7 HEM/ONC,56,60,420,86,91560,115570,29961,31993,49714,53648,-19753,-21655,1437,1877,25358,33757,-46548,-57289
